cluster,cluster_name,district,num_reviews,rating_overall,photos_count,instant_book,min_nights,extra_guest_fee_policy,nearest_poi_dist_km,bedrooms,baths
3,프리미엄 비즈니스,Seocho-gu,1,0.0,14,True,1,0,0.145,2,1.0
1,로컬 주거형,Songpa-gu,251,4.72,17,False,1,0,0.094,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,57,4.98,47,False,3,0,0.029,1,1.0
3,프리미엄 비즈니스,Jung-gu,18,4.89,84,True,0,0,0.05,1,1.0
2,가성비 신흥형,Seodaemun-gu,35,4.8,37,False,0,0,0.555,2,1.0
3,프리미엄 비즈니스,Jongno-gu,538,4.77,45,True,1,0,0.247,1,1.0
0,핫플 수익형,Mapo-gu,99,4.85,20,True,1,0,0.081,2,1.0
0,핫플 수익형,Mapo-gu,50,4.9,29,True,2,1,0.173,2,1.0
3,프리미엄 비즈니스,Jung-gu,98,4.76,36,False,1,0,0.084,1,1.0
2,가성비 신흥형,Dongdaemun-gu,71,4.93,74,False,1,0,0.393,3,1.5
3,프리미엄 비즈니스,Jongno-gu,33,4.76,51,False,1,0,0.08,2,1.0
