,superhost,instant_book,bedrooms_group,baths_group,guests_group,min_nights,extra_guest_fee_policy,rating_overall,photos_count,num_reviews,nearest_poi_dist_km,district_listing_count,district_superhost_rate,district_operating_rate,district_entire_home_rate,ttm_pop,photos_tier,review_rate,poi_dist_category,room_type_hotel_room,room_type_private_room,room_type_shared_room,nearest_poi_type_name_레포츠,nearest_poi_type_name_문화시설,nearest_poi_type_name_쇼핑,nearest_poi_type_name_숙박,nearest_poi_type_name_여행코스,nearest_poi_type_name_음식점,nearest_poi_type_name_축제공연행사
5337,0,1,5,6,5,1,0,4.67,17,6,0.026,3589,0.3948174979102814,0.8927277793257175,0.5274449707439398,315657,1,0.1429422241109655,0,False,True,False,False,False,False,False,False,True,False
3695,1,0,5,6,5,1,0,4.86,66,390,0.021,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,1.3930810259038735,0,False,False,False,False,False,False,True,False,False,False
6057,0,1,5,6,5,1,0,4.6,38,35,0.208,351,0.5982905982905983,0.925925925925926,0.905982905982906,528144,3,0.2093677082648339,0,False,False,False,False,False,False,True,False,False,False
17218,1,1,5,6,5,4,1,4.84,38,19,0.033,1754,0.3312428734321551,0.8825541619156214,0.4931584948688711,385503,3,0.7887089751469915,0,False,True,False,False,False,True,False,False,False,False
5193,1,1,5,6,4,2,0,5.0,68,23,0.265,632,0.4477848101265823,0.9129746835443038,0.5474683544303798,427001,3,0.1575342454963408,0,False,False,False,False,False,False,True,False,False,False
12723,1,1,5,6,5,6,0,4.58,17,12,0.088,862,0.3294663573085847,0.8897911832946636,0.5359628770301624,362689,1,0.2988791955447274,0,False,True,False,False,False,False,True,False,False,False
1525,0,1,5,6,5,1,0,4.64,19,94,0.038,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,1,0.2611909187218569,0,False,False,False,False,False,True,False,False,False,False
5809,1,0,5,6,5,0,0,4.84,32,50,0.02,579,0.4559585492227979,0.8877374784110535,0.7892918825561313,353653,2,0.271798215526211,0,False,False,False,False,False,False,False,False,True,False
15545,1,0,5,6,5,120,0,4.98,31,40,0.141,862,0.3294663573085847,0.8897911832946636,0.5359628770301624,362689,2,0.4166883648451652,0,False,False,False,False,True,False,False,False,False,False
4993,1,0,5,6,5,2,0,4.88,71,245,0.111,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,3,0.979902005879804,0,False,True,False,False,False,False,False,False,True,False
